Recency,Frequency,Monetary,R,F,M,RFM_Group,RFM_Score,Segment
326,1,77183.6,1,1,5,115,7,At Risk / Hibernating
2,7,4310.0,5,5,5,555,15,Champions
75,4,1437.24,2,4,4,244,10,Potential Loyalist
19,1,1457.55,4,1,4,414,9,Potential Loyalist
310,1,294.4,1,1,2,112,4,Lost
36,7,1385.74,3,5,4,354,12,Loyal Customers
204,1,89.0,1,1,1,111,3,Lost
232,1,1079.4,1,1,4,114,6,At Risk / Hibernating
214,1,459.4,1,1,2,112,4,Lost
23,3,2487.43,4,3,5,435,12,Loyal Customers
33,1,6207.67,4,1,5,415,10,Potential Loyalist
2,2,928.0600000000001,5,2,4,524,11,Loyal Customers
58,4,6372.58,3,4,5,345,12,Loyal Customers
52,3,2302.06,3,3,5,335,11,Loyal Customers
287,1,174.9,1,1,1,111,3,Lost
3,10,4737.23,5,5,5,555,15,Champions
110,2,552.0,2,2,3,223,7,At Risk / Hibernating
8,4,1208.1,5,4,4,544,13,Loyal Customers
291,1,320.69,1,1,2,112,4,Lost
4,1,150.9,5,1,1,511,7,At Risk / Hibernating
51,4,3425.69,3,4,5,345,12,Loyal Customers
60,1,1527.96,3,1,4,314,8,Potential Loyalist
72,3,1196.04,3,3,4,334,10,Potential Loyalist
311,1,324.6,1,1,2,112,4,Lost
25,1,622.93,4,1,3,413,8,Potential Loyalist
11,2,377.5,5,2,2,522,9,Potential Loyalist
315,2,1548.12,1,2,4,124,7,At Risk / Hibernating
130,1,4008.62,2,1,5,215,8,Potential Loyalist
82,2,777.24,2,2,3,223,7,At Risk / Hibernating
22,4,2427.81,4,4,5,445,13,Loyal Customers
5,3,1474.81,5,3,4,534,12,Loyal Customers
185,5,1628.56,1,4,4,144,9,Potential Loyalist
29,2,425.27000000000004,4,2,2,422,8,Potential Loyalist
338,2,401.9,1,2,2,122,5,At Risk / Hibernating
16,6,2780.66,4,5,5,455,14,Champions
80,1,504.84000000000003,2,1,3,213,6,At Risk / Hibernating
22,1,460.89,4,1,2,412,7,At Risk / Hibernating
72,4,1582.6000000000001,3,4,4,344,11,Loyal Customers
64,2,1080.48,3,2,4,324,9,Potential Loyalist
19,12,2682.63,4,5,5,455,14,Champions
36,2,2214.9,3,2,5,325,10,Potential Loyalist
46,1,1435.66,3,1,4,314,8,Potential Loyalist
119,4,1033.65,2,4,4,244,10,Potential Loyalist
303,1,69.3,1,1,1,111,3,Lost
323,1,195.6,1,1,1,111,3,Lost
50,1,391.7,3,1,2,312,6,At Risk / Hibernating
149,1,1390.39,2,1,4,214,7,At Risk / Hibernating
22,2,3415.3,4,2,5,425,11,Loyal Customers
50,5,1507.1200000000001,3,4,4,344,11,Loyal Customers
33,5,2618.55,4,4,5,445,13,Loyal Customers
79,3,11072.67,2,3,5,235,10,Potential Loyalist
309,2,533.33,1,2,3,123,6,At Risk / Hibernating
75,3,1142.88,2,3,4,234,9,Potential Loyalist
67,3,686.1,3,3,3,333,9,Potential Loyalist
217,3,442.41,1,3,2,132,6,At Risk / Hibernating
24,20,124564.53,4,5,5,455,14,Champions
3,9,3226.1,5,5,5,555,15,Champions
113,1,668.58,2,1,3,213,6,At Risk / Hibernating
64,1,600.39,3,1,3,313,7,At Risk / Hibernating
16,4,639.04,4,4,3,443,11,Loyal Customers
96,3,683.5600000000001,2,3,3,233,8,Potential Loyalist
1,8,1634.31,5,5,4,554,14,Champions
163,2,1760.96,2,2,4,224,8,Potential Loyalist
78,1,777.2,2,1,3,213,6,At Risk / Hibernating
195,1,510.73,1,1,3,113,5,At Risk / Hibernating
22,3,699.8,4,3,3,433,10,Potential Loyalist
26,8,6405.26,4,5,5,455,14,Champions
9,4,3388.4,5,4,5,545,14,Champions
43,1,216.4,3,1,1,311,5,At Risk / Hibernating
36,15,6382.45,3,5,5,355,13,Loyal Customers
43,4,4359.32,3,4,5,345,12,Loyal Customers
1,7,13375.87,5,5,5,555,15,Champions
85,2,806.14,2,2,3,223,7,At Risk / Hibernating
80,2,7829.89,2,2,5,225,9,Potential Loyalist
100,1,429.01000000000005,2,1,2,212,5,At Risk / Hibernating
2,18,4447.41,5,5,5,555,15,Champions
14,2,2466.85,5,2,5,525,12,Loyal Customers
367,1,155.55,1,1,1,111,3,Lost
3,1,144.06,5,1,1,511,7,At Risk / Hibernating
21,5,4085.46,4,4,5,445,13,Loyal Customers
22,1,77.4,4,1,1,411,6,At Risk / Hibernating
58,1,1002.3100000000001,3,1,4,314,8,Potential Loyalist
243,1,431.49,1,1,2,112,4,Lost
44,1,365.45,3,1,2,312,6,At Risk / Hibernating
22,4,3596.29,4,4,5,445,13,Loyal Customers
156,2,197.88,2,2,1,221,5,At Risk / Hibernating
11,5,8995.52,5,4,5,545,14,Champions
17,1,348.57,4,1,2,412,7,At Risk / Hibernating
134,1,707.09,2,1,3,213,6,At Risk / Hibernating
56,1,3528.34,3,1,5,315,9,Potential Loyalist
73,5,2339.86,2,4,5,245,11,Loyal Customers
44,3,2581.04,3,3,5,335,11,Loyal Customers
66,6,2043.23,3,5,4,354,12,Loyal Customers
71,2,787.4,3,2,3,323,8,Potential Loyalist
155,1,626.88,2,1,3,213,6,At Risk / Hibernating
19,2,937.59,4,2,4,424,10,Potential Loyalist
53,4,1200.78,3,4,4,344,11,Loyal Customers
10,8,957.05,5,5,4,554,14,Champions
17,2,682.1899999999999,4,2,3,423,9,Potential Loyalist
188,2,657.54,1,2,3,123,6,At Risk / Hibernating
2,27,17424.05,5,5,5,555,15,Champions
32,7,6068.11,4,5,5,455,14,Champions
54,3,2596.23,3,3,5,335,11,Loyal Customers
17,18,6745.79,4,5,5,455,14,Champions
54,1,669.38,3,1,3,313,7,At Risk / Hibernating
16,11,5898.42,4,5,5,455,14,Champions
23,6,13219.74,4,5,5,455,14,Champions
4,1,545.99,5,1,3,513,9,Potential Loyalist
11,1,473.2,5,1,2,512,8,Potential Loyalist
28,4,2885.63,4,4,5,445,13,Loyal Customers
23,10,5020.32,4,5,5,455,14,Champions
17,8,1910.98,4,5,4,454,13,Loyal Customers
35,4,3953.72,3,4,5,345,12,Loyal Customers
10,3,1244.66,5,3,4,534,12,Loyal Customers
336,1,298.93,1,1,2,112,4,Lost
5,10,4859.93,5,5,5,555,15,Champions
39,1,424.40000000000003,3,1,2,312,6,At Risk / Hibernating
63,2,227.21,3,2,1,321,6,At Risk / Hibernating
166,2,415.74,2,2,2,222,6,At Risk / Hibernating
16,7,1084.1000000000001,4,5,4,454,13,Loyal Customers
82,1,953.1,2,1,4,214,7,At Risk / Hibernating
21,3,349.70000000000005,4,3,2,432,9,Potential Loyalist
23,11,4059.82,4,5,5,455,14,Champions
337,1,2025.39,1,1,4,114,6,At Risk / Hibernating
96,5,2995.87,2,4,5,245,11,Loyal Customers
18,2,428.04999999999995,4,2,2,422,8,Potential Loyalist
233,1,73.5,1,1,1,111,3,Lost
134,3,1052.81,2,3,4,234,9,Potential Loyalist
26,2,398.27,4,2,2,422,8,Potential Loyalist
284,1,158.5,1,1,1,111,3,Lost
143,2,814.5699999999999,2,2,3,223,7,At Risk / Hibernating
66,2,138.03,3,2,1,321,6,At Risk / Hibernating
113,1,558.29,2,1,3,213,6,At Risk / Hibernating
267,1,1017.68,1,1,4,114,6,At Risk / Hibernating
353,1,278.7,1,1,2,112,4,Lost
78,2,1186.06,2,2,4,224,8,Potential Loyalist
28,4,2322.84,4,4,5,445,13,Loyal Customers
1,5,1840.89,5,4,4,544,13,Loyal Customers
64,1,286.84,3,1,2,312,6,At Risk / Hibernating
79,5,2346.2599999999998,2,4,5,245,11,Loyal Customers
143,1,545.68,2,1,3,213,6,At Risk / Hibernating
39,2,156.72,3,2,1,321,6,At Risk / Hibernating
19,11,1699.77,4,5,4,454,13,Loyal Customers
9,8,3945.72,5,5,5,555,15,Champions
1,3,1172.66,5,3,4,534,12,Loyal Customers
82,3,330.71000000000004,2,3,2,232,7,At Risk / Hibernating
9,6,1645.48,5,5,4,554,14,Champions
60,4,1500.28,3,4,4,344,11,Loyal Customers
15,1,125.22,4,1,1,411,6,At Risk / Hibernating
30,1,313.83000000000004,4,1,2,412,7,At Risk / Hibernating
131,1,981.18,2,1,4,214,7,At Risk / Hibernating
92,2,716.35,2,2,3,223,7,At Risk / Hibernating
59,1,4279.71,3,1,5,315,9,Potential Loyalist
29,1,363.95,4,1,2,412,7,At Risk / Hibernating
22,4,5568.35,4,4,5,445,13,Loyal Customers
20,17,11580.24,4,5,5,455,14,Champions
30,3,841.18,4,3,3,433,10,Potential Loyalist
36,1,316.7,3,1,2,312,6,At Risk / Hibernating
75,2,832.39,2,2,3,223,7,At Risk / Hibernating
47,2,1021.5,3,2,4,324,9,Potential Loyalist
198,2,151.79999999999998,1,2,1,121,4,Lost
166,1,67.19999999999999,2,1,1,211,4,Lost
79,1,824.83,2,1,3,213,6,At Risk / Hibernating
358,1,168.0,1,1,1,111,3,Lost
40,1,317.82,3,1,2,312,6,At Risk / Hibernating
8,10,3278.28,5,5,5,555,15,Champions
50,2,603.71,3,2,3,323,8,Potential Loyalist
16,5,11990.960000000001,4,4,5,445,13,Loyal Customers
8,1,269.96,5,1,2,512,8,Potential Loyalist
311,2,525.71,1,2,3,123,6,At Risk / Hibernating
5,2,1918.01,5,2,4,524,11,Loyal Customers
303,1,238.85,1,1,1,111,3,Lost
8,7,3385.7400000000002,5,5,5,555,15,Champions
261,1,402.9,1,1,2,112,4,Lost
289,1,145.92,1,1,1,111,3,Lost
86,1,297.65,2,1,2,212,5,At Risk / Hibernating
23,10,8609.28,4,5,5,455,14,Champions
2,32,3152.69,5,5,5,555,15,Champions
40,2,519.61,3,2,3,323,8,Potential Loyalist
9,2,912.42,5,2,3,523,10,Potential Loyalist
227,1,160.54000000000002,1,1,1,111,3,Lost
316,1,182.45000000000002,1,1,1,111,3,Lost
36,5,1315.83,3,4,4,344,11,Loyal Customers
35,3,653.85,3,3,3,333,9,Potential Loyalist
21,2,2402.51,4,2,5,425,11,Loyal Customers
78,1,386.42,2,1,2,212,5,At Risk / Hibernating
247,1,379.7,1,1,2,112,4,Lost
40,1,179.71,3,1,1,311,5,At Risk / Hibernating
239,2,351.36,1,2,2,122,5,At Risk / Hibernating
3,15,6705.38,5,5,5,555,15,Champions
4,9,2254.15,5,5,5,555,15,Champions
234,2,1824.1,1,2,4,124,7,At Risk / Hibernating
17,1,196.94000000000003,4,1,1,411,6,At Risk / Hibernating
8,1,104.0,5,1,1,511,7,At Risk / Hibernating
39,1,174.89999999999998,3,1,1,311,5,At Risk / Hibernating
29,2,574.68,4,2,3,423,9,Potential Loyalist
211,1,9341.26,1,1,5,115,7,At Risk / Hibernating
317,1,368.85,1,1,2,112,4,Lost
92,2,401.6,2,2,2,222,6,At Risk / Hibernating
109,3,382.09999999999997,2,3,2,232,7,At Risk / Hibernating
38,9,3208.2200000000003,3,5,5,355,13,Loyal Customers
51,2,450.27,3,2,2,322,7,At Risk / Hibernating
19,4,3195.22,4,4,5,445,13,Loyal Customers
10,7,2807.08,5,5,5,555,15,Champions
29,7,888.58,4,5,3,453,12,Loyal Customers
29,10,2311.04,4,5,5,455,14,Champions
190,5,487.06,1,4,3,143,8,Potential Loyalist
59,1,153.12,3,1,1,311,5,At Risk / Hibernating
22,1,613.1999999999999,4,1,3,413,8,Potential Loyalist
79,2,236.18,2,2,1,221,5,At Risk / Hibernating
60,1,1579.51,3,1,4,314,8,Potential Loyalist
78,3,964.85,2,3,4,234,9,Potential Loyalist
23,4,1747.54,4,4,4,444,12,Loyal Customers
52,1,1193.32,3,1,4,314,8,Potential Loyalist
74,1,668.0400000000001,2,1,3,213,6,At Risk / Hibernating
57,4,3092.38,3,4,5,345,12,Loyal Customers
278,1,315.6,1,1,2,112,4,Lost
2,4,2093.19,5,4,5,545,14,Champions
95,2,641.3,2,2,3,223,7,At Risk / Hibernating
29,1,355.53,4,1,2,412,7,At Risk / Hibernating
22,1,137.31,4,1,1,411,6,At Risk / Hibernating
16,8,2945.56,4,5,5,455,14,Champions
15,3,1303.41,4,3,4,434,11,Loyal Customers
2,20,12411.67,5,5,5,555,15,Champions
232,1,162.1,1,1,1,111,3,Lost
276,1,269.1,1,1,2,112,4,Lost
106,2,569.13,2,2,3,223,7,At Risk / Hibernating
212,2,2413.82,1,2,5,125,8,Potential Loyalist
23,9,5954.48,4,5,5,455,14,Champions
11,6,4082.53,5,5,5,555,15,Champions
4,3,732.46,5,3,3,533,11,Loyal Customers
10,2,1030.88,5,2,4,524,11,Loyal Customers
57,1,480.5,3,1,2,312,6,At Risk / Hibernating
59,4,1929.98,3,4,4,344,11,Loyal Customers
90,2,1509.18,2,2,4,224,8,Potential Loyalist
67,8,5823.9,3,5,5,355,13,Loyal Customers
33,1,511.69,4,1,3,413,8,Potential Loyalist
239,1,366.1,1,1,2,112,4,Lost
24,3,994.58,4,3,4,434,11,Loyal Customers
115,1,145.9,2,1,1,211,4,Lost
25,3,905.26,4,3,3,433,10,Potential Loyalist
128,6,3041.64,2,5,5,255,12,Loyal Customers
130,1,477.91,2,1,2,212,5,At Risk / Hibernating
34,4,1631.18,3,4,4,344,11,Loyal Customers
5,2,1346.97,5,2,4,524,11,Loyal Customers
22,12,3146.82,4,5,5,455,14,Champions
155,1,300.05,2,1,2,212,5,At Risk / Hibernating
107,3,569.51,2,3,3,233,8,Potential Loyalist
3,1,242.44000000000003,5,1,1,511,7,At Risk / Hibernating
335,1,114.0,1,1,1,111,3,Lost
331,1,793.98,1,1,3,113,5,At Risk / Hibernating
149,2,2209.85,2,2,5,225,9,Potential Loyalist
11,5,529.98,5,4,3,543,12,Loyal Customers
17,5,3619.17,4,4,5,445,13,Loyal Customers
11,4,1427.18,5,4,4,544,13,Loyal Customers
19,1,632.05,4,1,3,413,8,Potential Loyalist
30,1,73.68,4,1,1,411,6,At Risk / Hibernating
11,1,227.1,5,1,1,511,7,At Risk / Hibernating
1,11,3543.78,5,5,5,555,15,Champions
8,9,4391.88,5,5,5,555,15,Champions
325,1,45.0,1,1,1,111,3,Lost
58,1,460.13,3,1,2,312,6,At Risk / Hibernating
12,4,3177.15,5,4,5,545,14,Champions
151,2,1427.73,2,2,4,224,8,Potential Loyalist
10,5,2744.05,5,4,5,545,14,Champions
330,1,225.89999999999998,1,1,1,111,3,Lost
5,2,574.52,5,2,3,523,10,Potential Loyalist
39,4,1844.6,3,4,4,344,11,Loyal Customers
25,6,1091.39,4,5,4,454,13,Loyal Customers
42,10,16481.46,3,5,5,355,13,Loyal Customers
59,4,951.02,3,4,4,344,11,Loyal Customers
1,4,790.81,5,4,3,543,12,Loyal Customers
15,22,12365.54,4,5,5,455,14,Champions
4,31,11028.22,5,5,5,555,15,Champions
4,14,7612.57,5,5,5,555,15,Champions
8,6,2073.63,5,5,5,555,15,Champions
28,6,2575.08,4,5,5,455,14,Champions
372,1,71.14,1,1,1,111,3,Lost
114,1,4873.8099999999995,2,1,5,215,8,Potential Loyalist
26,2,1139.61,4,2,4,424,10,Potential Loyalist
206,1,335.01,1,1,2,112,4,Lost
28,5,927.8,4,4,4,444,12,Loyal Customers
127,4,711.91,2,4,3,243,9,Potential Loyalist
70,2,761.67,3,2,3,323,8,Potential Loyalist
7,4,582.1,5,4,3,543,12,Loyal Customers
29,3,757.59,4,3,3,433,10,Potential Loyalist
8,4,4525.99,5,4,5,545,14,Champions
80,2,725.71,2,2,3,223,7,At Risk / Hibernating
20,1,201.0,4,1,1,411,6,At Risk / Hibernating
71,1,265.55,3,1,2,312,6,At Risk / Hibernating
7,8,1740.84,5,5,4,554,14,Champions
15,8,6382.29,4,5,5,455,14,Champions
292,1,603.42,1,1,3,113,5,At Risk / Hibernating
